WS_HH, Ti_HH, Shear, WS_Eq, RSS, Power_mean, Power_std
10.2705, 32.2476, 0.253815, 10.1965, 0.028782, 999.006, 397.349
18.2654, 5.43579, 0.342168, 18.2476, 0.00249139, 1490.69, 26.4534
11.8387, 31.5052, 0.20732, 11.7534, 0.0355798, 1221.78, 324.116
7.95687, 15.7028, 0.175687, 7.93714, 0.00332503, 548.98, 188.01
13.8744, 28.8864, -0.232726, 14.0735, 0.0218214, 1413.95, 182.438
7.16464, 35.8303, 0.253451, 7.15565, 0.0162186, 437.176, 326.871
5.27978, 24.549, -0.318505, 5.32893, 0.000992822, 171.208, 108.187
15.6079, 33.8489, -0.170149, 15.8836, 0.170385, 1408.8, 200.701
6.97127, 18.4697, -0.27961, 7.06014, 0.004389, 388.356, 151.457
15.0232, 37.8391, 0.135871, 15.0537, 0.0551168, 1369.84, 257.253
5.30289, 20.7944, -0.454072, 5.41766, 0.000656436, 174.959, 90.9295
14.229, 21.9491, 0.491384, 14.3317, 0.0121772, 1461.52, 103.455
6.02921, 20.6562, 0.40839, 6.07811, 0.00719184, 250.256, 107.465
11.3565, 38.1868, -0.339354, 11.4526, 0.0403059, 1124.63, 399.44
12.3614, 32.9076, 0.299102, 12.2814, 0.0332014, 1259.11, 306.504
10.4061, 26.4711, 0.44922, 10.3962, 0.0158248, 1069.59, 349.045
15.08, 17.9566, 0.116768, 15.1275, 0.0359312, 1474.08, 75.2563
11.5008, 33.1425, -0.0835716, 11.4622, 0.0437102, 1176.23, 355.643
14.2946, 31.2996, 0.450609, 14.3949, 0.0338026, 1401.93, 206.64
10.8456, 35.5664, 0.206047, 10.7496, 0.0385904, 1062.49, 408.769
17.6852, 16.1504, -0.266388, 17.8936, 0.0180133, 1475.77, 74.8272
19.1393, 28.5073, 0.0826695, 19.0903, 0.0525729, 1445.7, 153.911
17.5377, 6.94621, -0.15116, 17.6315, 0.00361162, 1488.81, 32.4827
13.0016, 14.6401, 0.220321, 13.0036, 0.00433318, 1473.38, 70.2292
6.20822, 35.7902, -0.336069, 6.37134, 0.02915, 313.694, 221.248
15.9546, 19.3256, 0.298905, 16.0202, 0.0470592, 1471.76, 82.6385
14.3336, 24.0916, 0.373899, 14.3858, 0.0149198, 1451.82, 124.057
11.0125, 22.7704, 0.443513, 11.0068, 0.0146187, 1210.19, 290.892
4.33637, 36.4314, -0.268648, 4.30216, 0.0308654, 93.5916, 65.614
18.0882, 27.2205, 0.162649, 18.0316, 0.04867, 1445.91, 148.51
11.3488, 28.7727, 0.287864, 11.285, 0.0262376, 1195.02, 328.246
3.44352, 8.42789, 0.475586, 3.4527, 0.000147923, 43.961, 7.40477
17.405, 14.2059, -0.0962042, 17.4539, 0.013684, 1478.46, 65.3112
5.67036, 15.8856, -0.243094, 5.763, 0.00298564, 210.683, 69.9062
10.3611, 11.3146, -0.151569, 10.4061, 0.00501159, 1183.87, 205.438
5.87105, 36.9532, -0.372552, 6.04309, 0.0325188, 269.31, 195.524
11.0533, 32.5261, 0.263849, 10.9751, 0.0312013, 1120.24, 376.859
15.2281, 30.9813, 0.362786, 15.3822, 0.143185, 1412.36, 189.487
4.2885, 16.6805, -0.452097, 4.38263, 0.00698387, 91.211, 33.6853
7.50903, 32.2563, 0.216867, 7.4925, 0.01314, 494.127, 336.486
15.6229, 40.124, 0.187973, 15.8242, 0.264973, 1352.42, 281.331
15.3123, 15.5829, 0.244959, 15.349, 0.0279725, 1478.7, 63.0274
14.4985, 29.6763, -0.16421, 14.65, 0.0238833, 1425.59, 169.409
6.0734, 23.9162, -0.138937, 6.15109, 0.00825071, 265.995, 130.447
5.92103, 5.94889, 0.0580361, 5.92628, 0.0003809, 225.004, 28.8746
10.357, 38.3273, 0.395678, 10.2957, 0.0181444, 969.301, 435.637
9.84047, 34.54, 0.34628, 9.77938, 0.0228862, 911.132, 417.667
17.0034, 36.2145, 0.374022, 17.0152, 0.16708, 1372.37, 276.262
15.3703, 32.4022, 0.0718535, 15.5055, 0.140154, 1407.85, 198.898
3.65953, 22.5331, 0.15055, 3.65175, 0.00094476, 55.2237, 22.8061
14.4751, 19.5622, 0.425021, 14.5845, 0.0463526, 1467.51, 90.8901
16.8788, 35.9109, 0.36742, 16.8857, 0.155194, 1372.78, 274.696
17.7706, 13.257, 0.151208, 17.7234, 0.0128225, 1479.24, 62.2014
4.52453, 20.1014, 0.161602, 4.49404, 0.00215621, 102.692, 48.2347
19.893, 21.268, 0.452605, 19.9296, 0.0495409, 1465.66, 107.427
13.0795, 14.8661, 0.288689, 13.0899, 0.00453243, 1473.8, 69.7322
16.2089, 10.9647, 0.395513, 16.2114, 0.00904451, 1483.89, 47.5783
12.9658, 13.2556, 0.402583, 13.0035, 0.00355153, 1478.61, 58.1025
18.3415, 29.7932, -0.354558, 18.6786, 0.0679466, 1439.41, 166.358
12.101, 16.1516, 0.212472, 12.053, 0.0116098, 1420.39, 127.783
9.88488, 37.2258, 0.275023, 9.79715, 0.030216, 899.65, 434.714
11.8846, 24.5043, 0.184716, 11.8199, 0.0239071, 1304.52, 247.009
10.4084, 23.0424, 0.204092, 10.3543, 0.0178397, 1091.43, 322.836
18.0848, 22.0278, -0.0617403, 18.1084, 0.0305656, 1468.07, 104.624
5.7203, 35.1733, -0.167337, 5.81008, 0.0209274, 239.53, 167.066
8.46355, 18.5224, -0.11656, 8.49547, 0.00513364, 679.638, 272.911
15.1514, 26.6132, -0.099615, 15.3213, 0.0849516, 1444.07, 139.566
12.0841, 25.1223, 0.148586, 12.0175, 0.0260814, 1320.45, 238.626
4.79914, 11.0556, -0.180648, 4.8222, 0.000670874, 122.514, 31.0303
9.65789, 5.61984, 0.0396363, 9.64421, 0.00119962, 962.066, 96.2062
5.11443, 11.1219, 0.119659, 5.09005, 0.00010128, 143.363, 38.4595
10.4931, 22.0683, -0.00973321, 10.4661, 0.0177733, 1123.02, 309.444
4.59769, 36.113, -0.42505, 4.65938, 0.0102469, 123.612, 100.038
13.1835, 35.5205, -0.0732101, 13.2754, 0.0376461, 1304.87, 303.181
17.2433, 34.4342, 0.335182, 17.2275, 0.119853, 1391.01, 252.942
17.2294, 34.4562, 0.0268461, 17.2078, 0.0648073, 1391.04, 256.493
7.52143, 22.7969, -0.0627379, 7.53355, 0.00634425, 482.692, 235.507
